,Chain,Park,Name,Height,Speed,Length,Inversions,URL
305,Legoland,Legoland Japan,Dragon / ザ・ドラゴン,,35.4 mph,,0,https://rcdb.com/13645.htm
306,Legoland,Legoland Malaysia,Great Lego Race,,,,0,https://rcdb.com/10365.htm
307,Legoland,Legoland Malaysia,Dragon,,,,0,https://rcdb.com/9577.htm
308,Legoland,Legoland Malaysia,Dragon's Apprentice,,,,0,https://rcdb.com/9578.htm
309,Legoland,Legoland Korea,Masters of Spinjitzu / 스핀짓주 마스터,,,,0,https://rcdb.com/21756.htm
310,Legoland,Legoland Korea,Dragon,,,,0,https://rcdb.com/12559.htm
311,Legoland,Legoland Shanghai,Dragon's Apprentice / 小龙飞车,,,,0,https://rcdb.com/22205.htm
312,Legoland,Legoland Shanghai,Dragon / 飞龙过山车,52.5 ft,37.3 mph,,0,https://rcdb.com/21321.htm
313,Legoland,Legoland Shanghai,Big LEGO Coaster / 乐高大飞车,,,,0,https://rcdb.com/22055.htm
314,Legoland,Legoland Windsor,Dragon,,,,0,https://rcdb.com/844.htm
315,Legoland,Legoland Windsor,DUPLO Dino Coaster,9.8 ft,,219.8 ft,0,https://rcdb.com/17692.htm
316,Legoland,Legoland Windsor,Dragon's Apprentice,,,,0,https://rcdb.com/845.htm
